iteration,best_channels,best_fitness,best_acc,best_params_ratio,best_flops_ratio
1,12-24-32,23.407911,35.3500,0.332006,0.464133
2,12-24-32,23.407911,35.3500,0.332006,0.464133
3,12-24-32,23.407911,35.3500,0.332006,0.464133
4,12-24-32,23.407911,35.3500,0.332006,0.464133
5,12-24-32,23.407911,35.3500,0.332006,0.464133
1,8-16-40,24.079356,33.8500,0.355335,0.296042
2,8-16-40,24.079356,33.8500,0.355335,0.296042
3,8-16-40,24.079356,33.8500,0.355335,0.296042
4,8-16-32,26.898616,34.4500,0.251817,0.251608
5,8-16-32,26.898616,34.4500,0.251817,0.251608
1,12-24-32,23.057911,35.0000,0.332006,0.464133
2,12-24-32,23.057911,35.0000,0.332006,0.464133
3,12-24-32,23.057911,35.0000,0.332006,0.464133
4,12-24-32,23.057911,35.0000,0.332006,0.464133
5,12-24-32,23.057911,35.0000,0.332006,0.464133
